"","vector1","vector2","vector3","vector4","vector5","vector6","RNAi1","RNAi2","RNAi3","RNAi4","RNAi5","RNAi6","ctr_readsCount","logFC1","logFC2","logFC3","logFC4","logFC5","logFC6","names","NotCorrected"
"pck-2",326.070359323948,311.921947024788,351.023090096588,NA,NA,NA,54.8291037756539,59.2570947231886,56.7789292338243,NA,NA,NA,1912,-2.5721695052047,-2.39612526500868,-2.62813838595134,NA,NA,NA,"pck-2",FALSE
"div-1",137.717497424134,139.28576858209,159.070850715928,NA,NA,NA,39.1349464676736,29.2119542961229,33.6167994352378,NA,NA,NA,817.5,-1.81518249334047,-2.25341707558049,-2.24241520897434,NA,NA,NA,"div-1",TRUE
"bgal-2",2.05921399307465,2.25233672811382,2.78025142432819,NA,NA,NA,0,0.388723494240673,0.184609477112117,NA,NA,NA,11,-3.91266683278384,-2.53460631772401,-3.91266683278384,NA,NA,NA,"bgal-2",FALSE
"T21C9.6",2.4387756828082,3.89287552663262,3.99370990927242,NA,NA,NA,1.81750468503139,0.758540470367574,0.335280980549344,NA,NA,NA,17,-0.424197982948132,-2.35953815607401,-3.57428699273669,NA,NA,NA,"T21C9.6",FALSE
"hxk-2",37.0264635358598,41.5015921901485,37.4787057906696,NA,NA,NA,13.2397722759169,16.682637945375,12.5356482497101,NA,NA,NA,200,-1.48367845368713,-1.31481925262053,-1.58003453144934,NA,NA,NA,"hxk-2",TRUE
"pgk-1",323.013504418659,318.29725417429,317.054126936068,NA,NA,NA,65.1656194090861,49.8028702788622,69.6509201414209,NA,NA,NA,1852.5,-2.30941155992562,-2.67607391510579,-2.18651483865087,NA,NA,NA,"pgk-1",TRUE
"gpd-3",195.72979173563,177.045393906819,170.635671985466,NA,NA,NA,71.2242200589392,64.856711585052,86.0231646192932,NA,NA,NA,1083,-1.45842353959742,-1.44879152828376,-0.988122167420449,NA,NA,NA,"gpd-3",FALSE
"W06E11.1",211.013062081988,220.923283800138,254.062124699386,NA,NA,NA,175.719074145024,209.343733893451,234.995045259389,NA,NA,NA,1352.5,-0.264061503997295,-0.077671741106462,-0.112550977356265,NA,NA,NA,"W06E11.1",FALSE
"hxk-3",26.3345152297522,26.7767503264813,27.8229763487991,NA,NA,NA,7.4895062655337,11.2799441702132,13.0980399335566,NA,NA,NA,153.5,-1.81401238293503,-1.24722095610483,-1.08692582502095,NA,NA,NA,"hxk-3",FALSE
"F53F4.13",6.0955359190023,6.37333764647592,4.83022491236005,NA,NA,NA,1.37257285273559,0.717496639873548,1.70172474908494,NA,NA,NA,31.5,-2.15087034213893,-3.1510051132304,-1.50509266504203,NA,NA,NA,"F53F4.13",FALSE
"pfkb-1.1",84.3742562214204,91.5969873111672,81.3426213627903,NA,NA,NA,26.1597450326161,46.926030831384,31.3099650644606,NA,NA,NA,492.5,-1.68945439981799,-0.964911710546334,-1.37738958539017,NA,NA,NA,"pfkb-1.1",FALSE
"Y57G11C.3",65.0136109190243,67.7186267953708,64.8665063761294,NA,NA,NA,14.9218884632511,15.8889137941307,16.0581035714226,NA,NA,NA,367.5,-2.12331165535452,-2.09153221660788,-2.01417221563365,NA,NA,NA,"Y57G11C.3",FALSE
"D2096.12",29.7871522008016,38.8834099795291,30.5166660813782,NA,NA,NA,9.49578872560688,10.1488044516869,10.5835976436265,NA,NA,NA,167.5,-1.64933045985892,-1.93784496008044,-1.52776723676199,NA,NA,NA,"D2096.12",FALSE
"gob-1",41.6779618332579,56.7354665244825,53.9902378750403,NA,NA,NA,10.9368767223095,18.5717215662905,17.3454601539621,NA,NA,NA,280.5,-1.93008392552914,-1.61114331916337,-1.63814045907981,NA,NA,NA,"gob-1",FALSE
