"","sampleName","QL"
"x.gpi_1_rep3","x.gpi_1_rep3","good"
"x.R04B5.5_rep2","x.R04B5.5_rep2","good"
"x.adh_5_rep1","x.adh_5_rep1","good"
"x.bgal_1_rep3","x.bgal_1_rep3","good"
"x.Y43F4B.5_rep3","x.Y43F4B.5_rep3","good"
"x.tre_1_rep2","x.tre_1_rep2","good"
"x.F41E6.5_rep1","x.F41E6.5_rep1","good"
"x.VECTORLIKE_F26D11.1_rep3","x.VECTORLIKE_F26D11.1_rep3","good"
"x.gpi_1_rep2","x.gpi_1_rep2","good"
"x.bgal_1_rep1","x.bgal_1_rep1","good"
"x.acs_19_rep1","x.acs_19_rep1","good"
"x.bre_1_rep1","x.bre_1_rep1","good"
"x.F41E6.5_rep2","x.F41E6.5_rep2","bad"
"x.alh_12_rep3","x.alh_12_rep3","good"
"x.bgal_1_rep2","x.bgal_1_rep2","good"
"x.Y43F4B.5_rep1","x.Y43F4B.5_rep1","good"
"x.pgph_2_rep2","x.pgph_2_rep2","good"
"x.tre_4_rep1","x.tre_4_rep1","good"
"x.tre_1_rep1","x.tre_1_rep1","good"
"x.VECTORLIKE_F26D11.1_rep1","x.VECTORLIKE_F26D11.1_rep1","good"
"x.aagr_2_rep3","x.aagr_2_rep3","good"
"x.agl_1_rep1","x.agl_1_rep1","good"
"x.pfk_1.2_rep1","x.pfk_1.2_rep1","good"
"x.acs_19_rep2","x.acs_19_rep2","good"
"x.pfk_1.2_rep3","x.pfk_1.2_rep3","good"
"x.pgph_2_rep1","x.pgph_2_rep1","good"
"x.acs_19_rep3","x.acs_19_rep3","good"
"x.adh_5_rep3","x.adh_5_rep3","good"
"x.bre_1_rep2","x.bre_1_rep2","good"
"x.F41E6.5_rep3","x.F41E6.5_rep3","good"
"x.R04B5.5_rep3","x.R04B5.5_rep3","good"
"x.adh_5_rep2","x.adh_5_rep2","good"
"x.aagr_2_rep2","x.aagr_2_rep2","good"
"x.pgph_2_rep3","x.pgph_2_rep3","good"
"x.aagr_2_rep1","x.aagr_2_rep1","good"
"x.agl_1_rep3","x.agl_1_rep3","good"
"x.alh_12_rep2","x.alh_12_rep2","good"
"x.bre_1_rep3","x.bre_1_rep3","good"
"x.alh_12_rep1","x.alh_12_rep1","good"
"x.gpi_1_rep1","x.gpi_1_rep1","good"
"x.vector_well2_rep3","x.vector_well2_rep3","good"
"x.tre_4_rep2","x.tre_4_rep2","good"
"x.vector_well2_rep1","x.vector_well2_rep1","good"
"x.pfk_1.2_rep2","x.pfk_1.2_rep2","good"
"x.vector_well1_rep3","x.vector_well1_rep3","good"
"x.agl_1_rep2","x.agl_1_rep2","good"
"x.vector_well1_rep1","x.vector_well1_rep1","good"
"x.R04B5.5_rep1","x.R04B5.5_rep1","good"
"x.vector_well2_rep2","x.vector_well2_rep2","good"
"x.tre_1_rep3","x.tre_1_rep3","good"
"x.VECTORLIKE_F26D11.1_rep2","x.VECTORLIKE_F26D11.1_rep2","good"
"x.Y43F4B.5_rep2","x.Y43F4B.5_rep2","good"
"x.tre_4_rep3","x.tre_4_rep3","good"
"x.vector_well1_rep2","x.vector_well1_rep2","good"
